ISO,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BIH,0.898219356202566,0.894911827542332,0.879940248913489,0.861857785047964,0.875425824884693,0.859800430650712,0.828078031876714,0.853618294153004,0.870661777964445,0.896709697221007,0.896199937003459,0.971989929865036,1.04132180652087,1.09401084154368,1.17594714260841,1.26039191487453,1.40097896719115,1.48122231789113,1.56183495415135,1.71911539199018,0.788577362510292,0.604575572992893,0.50006260334978,0.439132724421176,0.442804031395075,0.50120074560987,0.662670377946164,0.86885263223873,1.03051493226236,1.05504836626083,0.954623630153994,0.920704909762216,0.908377207013015,0.893005854478453,0.88009054870736,0.894762153485069,0.955443010040777,1.01095388292393,1.04111857479603,1.00660535566713,0.995135295647756,0.962783974267209
BLR,0.98234874399434,0.973499833825346,0.94595808666099,0.992048664576739,0.999560331964964,0.982270889486275,1.00859995143336,1.0135223101846,1.02112603038626,0.99952147908794,0.985221498316805,0.965263151419819,0.961305551677974,0.965303184374156,0.951696994149062,0.936120660474795,0.950927328285292,0.940820925322665,0.939944458110752,0.936833183220039,0.988372312981104,1.02041096738859,0.897278543581717,0.739478130506306,0.686388115456856,0.691707980210244,0.753099081789132,0.796853033367099,0.857648390604208,0.907478210574443,0.990128545441161,0.956539696210766,0.913812388492899,0.882540190020741,0.887285933028802,0.91756315071837,0.979962033105923,1.03011377785906,1.13512692297791,1.04861010994067,1.08425202106081,1.16796250180832
BLZ,1.02149072026396,1.05312746816771,1.05108071782237,0.949533574981506,1.09369462988433,1.00831819039171,0.830462065509419,0.879748454722028,0.868767766045239,0.906865191078609,1.01453990621488,0.780693080501709,0.761787641224063,0.72749432076115,0.709170969485687,0.769912408016401,0.817082996730101,0.874225995901322,0.893623629649616,0.936359795178229,1.0224221112984,0.908643917442673,0.914299161141608,0.958416421171863,1.00153933582702,1.05246441070966,0.94015994219236,0.925288235435731,0.94567991366248,0.959633089632425,1.02233748522425,1.06441637792507,1.10477174759073,1.13395030844228,1.13675239766731,1.13954920552702,1.14811951793521,1.17123171213256,1.13251242080094,1.13556115144506,1.16684573715457,1.17173919581124
BMU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BOL,0.997333381170074,1.00040049696337,0.968640250760209,0.979774244355198,1.08703234112424,1.01087381712555,1.03300952173464,1.04751797232483,0.982961845870058,1.00294072735526,0.995689480251431,1.01301205798973,1.00213402408458,0.96542227123387,1.00926086196756,1.04488877884307,0.992930694126458,1.00065511943252,0.911370502596436,0.95276949446866,0.994255581852327,0.974388070241496,0.952786206500719,0.956991620783056,0.992837046517402,1.04192170522896,1.08870647980225,1.06073981919241,1.04019304972162,1.01159027013071,0.992767036447532,0.943739891855463,0.909600539641528,0.903938088864878,0.918277973829489,0.913611004656677,0.93987168526869,0.917398389848305,0.935223957755856,0.884483633818815,0.918141410435992,0.923396833619948
BRA,1.0026643455352,1.0169525166064,1.0466863540535,1.10629162735517,1.08795274014377,1.06516213299286,1.09635137424517,1.0678895987701,1.04040600831053,1.04403473495707,1.00082086774112,0.982125600558906,0.976969069705056,0.932348172805888,0.95897772999986,0.979430155042895,1.07658613051247,1.08526048583496,1.07558288621362,1.06052214947746,1.00174305018513,0.994242269913517,0.969082009083211,0.980908023550503,1.04092285319336,1.14921126053099,1.31748548570969,1.22158998284672,1.12202084091506,1.02980460917391,1.00082223726826,0.951488273310281,0.926790698057892,0.889586956757197,0.90430237663509,0.888832477626862,0.900118002363394,0.92588537328425,0.948588715573779,0.913732687402933,0.958093505022142,0.957907403550546
BRB,1.0141466101349,1.06124526340873,1.06017142870359,1.11107080200044,1.05384228920865,1.16299681131548,0.916655297049818,0.936502538153792,0.924748542824686,0.978600075100318,1.01418869459249,0.957379863509972,0.887835753380547,0.867552486133728,0.875927035707786,0.853210448360952,0.911667583300202,0.964725706044361,0.980186686363837,1.04936167133955,1.01448003946108,0.972745070809586,0.924646155463619,0.921768439004435,0.928648398342751,0.913967708787525,0.988912400865499,1.02362612303703,0.996783630057016,1.01152443321177,1.01471246620491,0.979648360774926,0.997203763484883,1.06876972493229,1.09804644260939,1.21857836213069,1.31117207128394,1.3679879374678,1.30383175413777,1.31954713688008,1.25867322025513,1.19830346860914
BRN,1.23211360936941,1.17261384035949,1.14426284612247,1.12977069308908,1.11476307887325,1.05829624446004,1.20948793143844,1.23316523635473,1.26381014500038,1.45837982912544,1.21067293285685,1.10320554773883,1.24441839299783,1.23030115020277,1.21933166747709,1.27107989949055,0.837925467273674,0.975001809503726,0.88918170526786,1.05033095042245,1.18953443099157,1.13173304447124,1.15015482250525,1.05737688046754,0.972360847157664,0.913632790680619,1.13000033435596,1.00652243872651,0.86163557777851,0.970918460696914,1.17538193409209,1.10857795868969,1.10827259271379,1.18166552886387,1.3160068938359,1.52986834661821,1.71638418761762,1.62018483901284,1.87348584273061,1.41435773034965,1.4843519407897,1.73449823829454
BTN,1.00570569666923,0.990262974882007,0.962471374906789,0.940793579984966,0.94974799660749,0.884129061692202,0.93451717435953,0.972500622104889,1.01094913908618,1.03659548706916,1.03009564603516,1.06080909821972,1.01829859227721,1.06121102513395,1.00575031085279,0.975477484718565,0.986630538368025,1.06048667744731,1.0030628211446,1.03535583796129,1.05509563774942,0.980862104972343,0.92965154576948,0.92976201122394,0.902908775467304,0.944301983420089,0.955881434932785,0.978427881202043,0.971603689006633,1.01394835462841,1.05552950991386,1.05122915618384,1.11296531766039,1.10816692547634,1.10803162942318,1.16821135503408,1.09558064724536,1.22390960952391,1.21358393840684,1.25363143462259,1.24459173684093,1.03640650412637
BWA,0.895584820658419,0.878123655676072,0.899762900426789,0.933992711801,0.889583163923768,0.853409935061375,0.85618803324567,0.847216629428256,0.818026516497009,0.867220616768819,0.964432317578341,0.827947962757171,0.681667250366081,0.629662320137528,0.639750895607505,0.693382214024371,0.775671784780955,0.790688489275479,0.847928161764848,1.01722960594143,0.998104572174163,0.963243926507854,0.898796912863869,0.870790388969408,0.863692585632642,0.876204732821866,0.935694429936959,0.958060321957554,0.980785010929153,1.0859243030869,1.00576503234759,1.146146159773,1.12622738786754,1.04571596242635,1.12162021305808,1.08001615321182,1.20487007374285,1.23808448808232,1.39775481400041,1.04443878818377,1.19572795398594,1.18014179144393
