ISO,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ASM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATG,1.0,1.0,1.0,1.0,1.0,1.0,1.6494705787755568,2.250116981387552,2.805955434257796,3.314377262363962,3.80917868720179,4.343705780477822,4.944134201312609,5.493354752854607,6.0162285652639635,6.496311665032406,6.302725256956992,6.145340319429236,6.029394742806286,5.9239798105227655,5.801221359816162,5.613499345979776,5.341491220974369,5.111880844921736,4.908965921220108,4.760988149531308,4.649820429731183,4.568247002113723,4.506927687910509,4.476243359812761,4.464547017306066,4.518787315648106,4.581942379335863,4.651004368048445,4.722848020660196,4.790793279615004,4.839821429457266,4.90715012053923,4.965303140946389,5.0157629402967245,5.067865758313783,5.071783295662603,5.066887289661321,5.063729075043528,5.096895353944254,5.230958280776319,5.4396491278042145,5.635157752365732,5.664923522127214,5.7195610035490745,5.804570504568104,5.930394063445277
AUS,0.7863992421396143,0.7844138676885081,0.7811415149751644,0.777971046717066,0.7737927875346956,0.7689343750054531,0.7621280501937036,0.7545748638465704,0.7500854578044219,0.7478593813102912,0.7482920778012214,0.7478981616019087,0.7486946063839325,0.7520434869482981,0.7568470336100626,0.7637059707108551,0.7708330741310296,0.7784613520609143,0.7893703664296894,0.7990289021726426,0.8059094870649212,0.8120343511505714,0.819038248894357,0.8225152959588158,0.8261782519860154,0.8289756267635889,0.8332867940784003,0.8382659402686563,0.8373332767770971,0.8363311208045822,0.8360956100869569,0.83526707081822,0.8330454521091006,0.8315309274530112,0.8286780497663365,0.8259048055964927,0.8214033382864778,0.8145567624838884,0.8095288676708112,0.8055156190365504,0.8025228097766073,0.801250588630122,0.800752366140489,0.8014665522114578,0.8049066135494558,0.8097928024990584,0.8149140692462448,0.8207955048120708,0.8234734630905095,0.826975139874121,0.8307025274615862,0.8340214703478287
AUT,1.3469966333300003,1.3493110342237324,1.3500132058986818,1.3524018817698695,1.3543584537306494,1.3535672621888446,1.3516968678015664,1.3517760306558464,1.3499174901880624,1.3501748522390995,1.3542966296546446,1.3628242946664204,1.371835038636192,1.3790659252169823,1.3920152408380404,1.4053529373456375,1.4239291951752517,1.4467528993076653,1.4699475450969566,1.491077295127584,1.5134721424971318,1.5290749750729637,1.5450834516267578,1.5632648288052406,1.574895387386509,1.58694460016974,1.5938141874974123,1.5949344128881022,1.5965703004539562,1.6024700167501202,1.605611206269968,1.6086874699975564,1.6121456431828047,1.6144604222246326,1.6158964856922775,1.6170585045973573,1.6189546213796988,1.6225328678340194,1.6249441297673344,1.6254764523800005,1.6238362654051521,1.6213629452951062,1.615489369324622,1.605964741011239,1.5985554248774307,1.6010509469549725,1.6035542785553272,1.601972689999032,1.600367937267017,1.5964400827308183,1.5934959236047737,1.5910423357482537
AZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619566470118921,0.9243254225062294,0.9064516465215441,0.9137789316444046,0.9481066652031591,0.998471026439826,1.0479843747118913,1.0921787077274363,1.1274307334014855,1.15680032746728,1.214312478904819,1.2643359042384086,1.2920010535217812,1.2962254483698716,1.2763204695575827,1.224622588324712,1.1560282072431085,1.082494630863285,1.0180778079190207,0.9587292680811764,0.9114272117602333,0.8809876712326613,0.8568847754821936,0.8245557724537789,0.7788883760236534,0.7442589720212691
BDI,4.860439567267242,4.729476476474705,4.611451142829727,4.462636397724796,4.350994072074189,4.270649675168768,4.077813016183668,3.8101828009733856,3.6034963793667094,3.4127883193523103,3.2649564408019787,3.143318574928795,3.0184392149646566,2.9319820618860915,2.844089673708208,2.7575208051252114,2.7575998209506514,2.749432888182383,2.7463823376536878,2.772654052795147,2.8122680916484786,2.8315946953682727,2.8749310177181764,2.9293322821431595,2.97100832087122,3.0035980089081757,3.005505124230847,3.0031955416694602,2.978099547737138,2.9644796653108267,2.9356168305174153,2.9440757197899687,2.9777147975879426,3.007995256320871,3.0344208964301087,3.0751593845743934,3.1308385284813496,3.196899018813439,3.255098519215545,3.3066967685526953,3.3545835628012783,3.390174155100271,3.38731688755945,3.3825725062656042,3.383796051422933,3.369469591063101,3.351610080051961,3.3415920068931064,3.351491613873642,3.344819651886983,3.3329950013043477,3.30648696540614
BEL,1.4686635139278088,1.4621911952580693,1.4606664606829247,1.460064938572982,1.4583831946752857,1.4545181714309656,1.4425046909638626,1.432911035863593,1.4238553118122108,1.4135006132843144,1.4063090339476652,1.4047547210424924,1.398030669635717,1.3941949609382926,1.391483295886273,1.391198563624344,1.3915337570139368,1.3938813599696704,1.398720234744159,1.406905472963387,1.4129368842647374,1.4114460771590562,1.4119503674641638,1.4077511420468922,1.4000414752898467,1.3912909457775857,1.3843391072578934,1.37569344639101,1.3672636516799572,1.3620574541038413,1.3571736022544552,1.352508788292643,1.3491158467236843,1.3449028581013798,1.344174108176866,1.3425412008236939,1.339203140630545,1.3366485830726342,1.3327707742436592,1.3257062276239366,1.31806809412072,1.3107923793993697,1.3023889496132592,1.2944909623359766,1.288124667457233,1.288674104087502,1.289528647472285,1.288689576188549,1.2872146653878918,1.2845793450210004,1.28478327279805,1.285584965769523
BEN,4.170866455395769,4.15439305963876,4.135427799805099,4.108841026195965,4.08535227044004,4.062359335117504,4.056445089374664,4.047827578594753,3.9956422781696057,3.9511695562860765,3.9046443638286745,3.9131180254077584,3.928705602229879,3.9435171677212586,3.967388078747996,3.9794679917671645,3.9652343947563766,3.9364583564803786,3.908538291378105,3.9030234232204166,3.879601993758777,3.786187212267685,3.68459270013462,3.600849546556764,3.50067454087527,3.418049614583624,3.3307639738952597,3.242973861897979,3.164055180526135,3.0516774398959994,2.96339977968932,2.882519973301,2.8013458039376427,2.7044788968373057,2.6131072472093786,2.513409276739077,2.430061021572144,2.350866859474526,2.2722322684510994,2.20389515422409,2.133994118859705,2.0841980821921138,2.0364448186217503,1.9918023895316541,1.947987855390394,1.912333055317919,1.887399677441055,1.8687805810687685,1.8572256737841688,1.8447012790914386,1.8345072217873624,1.820949016889503
BFA,1.297950017749058,1.3117922160400262,1.3271795887556344,1.3276528128613272,1.3246277393755976,1.324075786927829,1.3408989012618597,1.360769051794097,1.3658467819987339,1.3867311399710407,1.4141568092906855,1.442302036505564,1.4778054596370607,1.5187988501525482,1.5527722992391397,1.6074059322989314,1.6827097227058487,1.7421986690851479,1.8376917376870445,1.9417193746589134,2.060783609735702,2.1743047309684798,2.2758876600581366,2.4019318454151004,2.53995818155719,2.670055939001986,2.796252840941438,2.9080562471022837,3.019554857697016,3.1064063041846888,3.1892090238255424,3.267244256074008,3.326377141378747,3.3625835291962822,3.3901401801149973,3.396966740022775,3.392700538851517,3.3885142858768775,3.3662843907326256,3.331518585588978,3.2825995801354138,3.230146487582862,3.196261409196629,3.1696025832331998,3.151233852147202,3.1520198854045516,3.1471189445841334,3.162138931602283,3.1576372972398343,3.163917206488372,3.1691688083378557,3.188448928239071
BGD,0.7234134258299256,0.72494496662733,0.7261182692864867,0.7353297345243748,0.742162123328469,0.7479004168396524,0.749812282067547,0.7551998658747106,0.7768426782826716,0.7995081776963996,0.8181065595723022,0.8410271346244527,0.8629374354170265,0.8813385848789796,0.9005291851339366,0.9222122588046011,0.9563237098961892,0.9903383435524844,1.017482160600936,1.0474867410320308,1.0802508491285214,1.1086331211827936,1.1436504821772977,1.1769121281024915,1.2114068003790504,1.245317857553627,1.2672955404940436,1.2834687540427685,1.2934869037449044,1.302264400591699,1.311447870384295,1.3175874348662258,1.3188582240746112,1.3192735563445308,1.3195111000877482,1.3200177966703088,1.3251809818036144,1.332813369153673,1.3448791239081768,1.3604111723910752,1.3775155321695227,1.3980815514937641,1.4203545423955377,1.443844129981907,1.4693668950361343,1.4974152891564527,1.528500622602045,1.5606095077378392,1.5750986450738145,1.5896349930757858,1.6053456031604785,1.6207887070638414
