ISO,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
KEN,2579206,2586363,2593521,2600678,2607836,2614993,2622150,2629308,2636465,2643623,2650780,2658979,2667177,2675376,2683574,2691773,2699972,2708170,2716369,2724567,2732766,2742311,2751856,2761401,2770946,2780492,2790037,2799582,2809127,2818672,2828217,2839564,2850910,2862257,2873604,2884950,2896297,2907644,2918991,2930337,2941684,2955544,2969405,2983265,2997126,3010986,3024846,3038707,3052567,3066428,3080288,3097872,3115457,3133041,3150626,3168210,3185794,3203379,3220963,3238548,3256132,3279701,3303270,3326839,3350408,3373978,3397547,3421116,3444685,3468254,3491823,3526357,3560892,3595426,3629960,3664494,3699029,3733563,3768097,3802632,3837166,3897052,3956939,4016825,4076712,4136598,4196484,4256371,4316257,4376144,4436030,4600103,4764176,4928250,5092323,5256396,5429929,5603461,5776994,5950527,6124060,6292291,6467083,6649390,6839572,7037304,7243648,7458282,7682347,7916308,8160659,8415918,8682635,8961386,9251862,9553665,9868273,10196300,10537337,10893049,11252466,11657479,12083165,12529810,12997447,13486241,13995974,14527187,15081598,15661414,16267906,16901181,17559778,18241331,18942599,19660713,20393724,21140344,21899004,22668238,23446229,24234087,25029754,25824736,26608089,27373035,28116027,28842245,29564614,30301240,31065820,31863280,32691980,33551079,34437460,35349040,36286015,37250540,38244442,39269988,40328313,41419954,42542978,43692881,44863583,
KGZ,1013301,1018930,1024560,1030189,1035819,1041448,1047077,1052707,1058336,1063966,1069595,1075537,1081480,1087422,1093364,1099306,1105249,1111191,1117133,1123076,1129018,1135290,1141562,1147835,1154107,1160379,1166651,1172923,1179196,1185468,1191740,1198361,1204981,1211602,1218222,1224843,1231464,1238084,1244705,1251325,1257946,1264935,1271924,1278913,1285902,1292890,1299879,1306868,1313857,1320846,1327835,1335212,1342589,1349965,1357342,1364719,1372096,1379473,1386849,1394226,1401603,1409390,1417176,1424962,1432749,1440536,1448322,1456108,1463895,1471682,1479468,1487688,1495908,1504127,1512347,1520567,1528787,1537007,1545226,1553446,1561666,1570342,1579017,1587692,1596368,1605044,1613719,1622394,1631070,1639746,1648421,1657579,1666737,1675895,1685053,1694212,1703370,1712528,1721686,1730844,1740002,1783252,1826502,1869751,1913001,1956251,1999501,2042751,2086000,2129250,2172500,2251700,2330900,2410100,2489300,2568500,2647701,2726901,2806101,2885301,2964501,3030801,3097101,3163401,3229701,3296002,3362302,3428602,3494902,3561202,3627502,3704202,3780901,3857601,3934300,4011000,4087700,4164401,4241101,4317802,4394502,4441780,4477038,4507565,4543602,4592135,4656894,4734761,4817608,4893658,4954850,4998286,5027919,5050867,5077515,5115470,5166644,5228937,5301038,5380310,5464567,5553827,5648230,5745698,5843617,
KHM,2232427,2237742,2243058,2248374,2253689,2259004,2264320,2269636,2274951,2280266,2285582,2291024,2296466,2301907,2307349,2312791,2318233,2323675,2329116,2334558,2340000,2355602,2371205,2386807,2402410,2418012,2433614,2449217,2464819,2480422,2496024,2513853,2531682,2549510,2567339,2585168,2602997,2620826,2638654,2656483,2674312,2693414,2712516,2731618,2750720,2769822,2788924,2808026,2827128,2846230,2865332,2885799,2906266,2926732,2947199,2967666,2988133,3008600,3029066,3049533,3070000,3089506,3109013,3128519,3148025,3167532,3187038,3206544,3226050,3245557,3265063,3297714,3330365,3363016,3395667,3428318,3460968,3493619,3526270,3558921,3591572,3627488,3663403,3699319,3735234,3771150,3807066,3842981,3878897,3914812,3950728,3990235,4029742,4069248,4108755,4148262,4187769,4227276,4266782,4306289,4345796,4454547,4563298,4672050,4780801,4889552,4998303,5107054,5215806,5324557,5433308,5583777,5734245,5884714,6035183,6185652,6352958,6520265,6687572,6854878,7022185,7167716,7331162,7478147,7561583,7551988,7431505,7222050,6982522,6795102,6718241,6774509,6945053,7196139,7475011,7743065,7990133,8228268,8467109,8723550,9008856,9323607,9659238,10007092,10355253,10694459,11022162,11338733,11641509,11928306,12197905,12448881,12681984,12901217,13112334,13320058,13525360,13728700,13933660,14144337,14363586,14593099,14832255,15078564,15328136,
KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41234,42261,43312,44372,45424,46455,47461,48440,49389,50303,51181,52020,52823,53605,54382,55169,55980,56815,57664,58509,59340,60137,60918,61760,62768,64006,65519,67262,69104,70863,72411,73698,74773,75722,76674,77727,78907,80190,81556,82969,84406,85858,87343,88892,90545,92329,94257,96310,98437,100566,102648,104662,106620,108544,110470,112423
KNA,23200,23184,23169,23153,23138,23122,23106,23091,23075,23059,23044,23512,23981,24450,24919,25388,25856,26325,26794,27262,27731,27859,27987,28115,28243,28371,28498,28626,28754,28882,29010,29181,29352,29523,29694,29865,30036,30207,30378,30549,30720,30696,30672,30648,30624,30600,30576,30552,30528,30504,30480,30502,30524,30546,30568,30590,30612,30634,30656,30678,30700,30305,29910,29515,29120,28725,28330,27935,27540,27145,26750,26510,26270,26030,25790,25550,25310,25070,24830,24590,24350,24091,23831,23572,23313,23054,22794,22535,22276,22016,21757,22421,23085,23749,24412,25076,25740,26404,27068,27731,28395,29262,30128,30994,31861,32727,33594,34460,35326,36193,37059,36720,36381,36041,35702,35363,37267,39170,41074,42978,44882,44490,44328,44314,44327,44278,44142,43946,43704,43450,43205,42978,42761,42539,42294,42017,41697,41353,41045,40854,40833,41009,41360,41836,42363,42888,43391,43885,44391,44938,45544,46216,46935,47681,48424,49139,49818,50465,51093,51717,52352,52998,53650,54301,54944,
KOR,9544995,9555394,9565792,9576191,9586590,9596988,9607387,9617786,9628185,9638583,9648982,9659384,9669785,9680186,9690588,9700990,9711391,9721792,9732194,9742596,9752997,9757746,9762496,9767245,9771995,9776744,9781493,9786243,9790992,9795742,9800491,9805242,9809994,9814745,9819496,9824248,9828999,9833750,9838501,9843253,9848004,9852804,9857604,9862405,9867205,9872005,9876805,9881605,9886406,9891206,9896006,9916005,9936004,9956004,9976003,9996002,10016001,10036000,10056000,10075999,10095998,10266799,10437600,10608401,10779202,10950003,11120804,11291605,11462406,11633207,11804008,12013607,12223207,12432806,12642406,12852005,13061604,13271204,13480803,13690403,13900002,14072702,14245402,14418101,14590801,14763501,14936201,15108901,15281600,15454300,15627000,15985440,16343879,16702319,17060758,17419198,17777638,18136077,18494517,18902687,19310857,19719027,20127197,20535367,20728793,21014485,21481926,22047781,22673843,23383391,24166200,24975216,25761574,26532859,27286278,27989302,28702077,29379749,30069120,30757519,31437141,32087884,32759447,33435268,34091816,34713078,35290737,35832213,36356187,36889651,37451085,38046253,38665964,39295418,39912900,40501917,41059473,41588374,42085050,42546704,42972254,43358716,43708170,44031222,44342530,44652994,44967346,45283939,45599569,45908307,46206271,46492324,46769579,47043251,47320454,47605863,47901643,48205062,48509842,48807036,49090041,49356692,49608451,49846756,50074401,
KWT,137692,137831,137970,138109,138249,138388,138527,138666,138805,138944,139083,139223,139364,139504,139645,139785,139926,140066,140207,140347,140488,140630,140772,140914,141056,141197,141339,141481,141623,141765,141907,142050,142194,142337,142480,142624,142767,142910,143054,143197,143340,143485,143630,143775,143919,144064,144209,144354,144499,144643,144788,144934,145081,145227,145373,145519,145666,145812,145958,146104,146251,146398,146546,146694,146842,146989,147137,147285,147433,147580,147728,147877,148026,148176,148325,148474,148623,148773,148922,149071,149220,149371,149522,149672,149823,149974,150125,150275,150426,150577,150728,150880,151032,151184,151336,151489,151641,151793,151946,152098,152250,164823,177396,189969,202542,215114,227687,240260,252833,265406,277979,325495,373012,420528,468044,515560,562485,609410,656335,703259,750184,807900,866747,926817,988267,1051187,1115463,1180939,1247597,1315428,1384342,1452383,1518855,1586205,1657920,1735320,1823201,1917950,2002645,2054443,2058832,2007110,1909096,1791511,1691891,1637031,1637906,1686256,1766247,1853152,1929470,1990022,2042215,2095993,2166344,2263604,2389498,2538591,2705290,2881243,3059473,3239181,3419581,3593689,3753121,
LAO,1099999,1107999,1115999,1124000,1132000,1140000,1148000,1156000,1164001,1172001,1180001,1188001,1196001,1204000,1212000,1220000,1228000,1236000,1243999,1251999,1259999,1267999,1276000,1284000,1292000,1300000,1308001,1316001,1324001,1332002,1340002,1348002,1356002,1364001,1372001,1380001,1388001,1396001,1404000,1412000,1420000,1428000,1436000,1444000,1452000,1460000,1468001,1476001,1484001,1492001,1500001,1495496,1490991,1486486,1481981,1477476,1472971,1468466,1463961,1459456,1454951,1459968,1464985,1470002,1475019,1480036,1485054,1490071,1495088,1500105,1505122,1510312,1515502,1520693,1525883,1531073,1536263,1541453,1546644,1551834,1557024,1562393,1567762,1573131,1578500,1583869,1589238,1594607,1599976,1605345,1610714,1616268,1621822,1627376,1632930,1638484,1644039,1649593,1655147,1660701,1666255,1712035,1757815,1803595,1849375,1895156,1940936,1986716,2032496,2078276,2124056,2180771,2237486,2294201,2350916,2407632,2463310,2518989,2574668,2630346,2686025,2759634,2837967,2916148,2987544,3047864,3094940,3131492,3164146,3202270,3252701,3317570,3395113,3483492,3579370,3680145,3785230,3895066,4009121,4126935,4247839,4371549,4496971,4621685,4742685,4857774,4966303,5068658,5165072,5256207,5342879,5424701,5502340,5579003,5658894,5745012,5838837,5939634,6045439,6153153,6260544,6366909,6473050,6579985,6689300,
LBN,414649,417611,420572,423534,426496,429458,432420,435381,438343,441305,444267,447440,450613,453787,456960,460133,463307,466480,469653,472826,476000,485226,494452,503678,512904,522130,531356,540582,549808,559034,568260,568834,569408,569982,570556,571130,571704,572278,572852,573426,574000,580455,586910,593365,599820,606275,612730,619185,625640,632095,638550,639195,639840,640485,641130,641775,642420,643065,643710,644355,645000,654373,663745,673118,682491,691863,701236,710609,719981,729354,738727,757195,775663,794131,812599,831068,849536,868004,886472,904940,923409,946494,969579,992664,1015750,1038835,1061920,1085005,1108091,1131176,1154261,1183118,1211974,1240831,1269687,1298544,1327401,1356257,1385114,1413970,1442827,1487393,1531959,1576524,1621090,1665656,1710222,1754788,1799353,1843919,1888485,1946065,2003645,2061225,2118805,2176386,2200589,2224792,2248996,2273200,2297403,2353569,2416743,2480426,2535503,2575693,2598362,2606224,2604875,2602573,2605294,2615753,2632281,2651295,2667229,2676593,2677290,2672182,2668593,2676615,2703019,2752473,2821868,2900862,2974647,3033406,3070974,3092684,3113960,3156661,3235380,3359875,3522842,3701464,3863271,3986865,4057041,4085426,4109389,4181742,4337156,4591698,4924257,5286990,5612096,
LBR,407652,408590,409529,410467,411405,412344,413282,414220,415159,416097,417035,418105,419174,420244,421313,422382,423452,424521,425590,426660,427729,428967,430205,431442,432680,433918,435156,436393,437631,438869,440107,441568,443030,444492,445953,447415,448877,450338,451800,453261,454723,456495,458266,460038,461810,463581,465353,467125,468896,470668,472440,474666,476892,479118,481344,483570,485796,488022,490249,492475,494701,497649,500598,503547,506495,509444,512392,515341,518289,521238,524186,528437,532687,536937,541187,545437,549687,553937,558188,562438,566688,573871,581054,588238,595421,602605,609788,616971,624155,631338,638521,657059,675597,694135,712672,731210,749748,768286,786824,805361,823899,847364,870829,894293,917758,941223,964687,988152,1011617,1035081,1065547,1096012,1126478,1156943,1187409,1224143,1261870,1300590,1340303,1380015,1419728,1457714,1497356,1538882,1582584,1628656,1676016,1724313,1775200,1830963,1892529,1961795,2036325,2107523,2163835,2197442,2206867,2196204,2170426,2137018,2102877,2066060,2028672,2006349,2019148,2079921,2197801,2365290,2558085,2741755,2891968,2998770,3070673,3124222,3184643,3269786,3384804,3522337,3672782,3821498,3957990,4079574,4190155,4293692,4396554,
LBY,552308,552785,553262,553738,554215,554692,555169,555646,556122,556599,557076,557553,558030,558507,558984,559461,559938,560415,560892,561368,561845,562322,562799,563276,563752,564229,564706,565183,565659,566136,566613,569952,573290,576629,579968,583306,586645,589984,593323,596661,600000,608454,616909,625363,633818,642272,650727,659181,667636,676090,684545,687280,690015,692751,695486,698221,700957,703692,706427,709163,711898,711749,711599,711449,711300,711150,711001,710851,710701,710552,710402,710002,709602,709202,708802,708402,708002,707601,707201,706801,706401,725795,745188,764582,783975,803369,822762,842156,861549,880943,900336,913203,926070,938937,951804,964671,977538,990405,1003272,1016139,1029006,1061005,1093005,1125004,1157004,1189003,1238118,1287232,1336347,1385461,1434576,1483856,1536196,1592111,1652294,1717255,1787080,1861661,1941056,2025282,2114264,2208125,2306668,2409101,2514373,2621730,2730373,2840378,2952877,3069540,3191304,3318560,3450078,3583183,3714264,3840635,3961363,4076888,4187631,4294547,4398419,4499210,4596811,4691934,4785488,4878202,4970391,5062160,5153764,5245414,5337264,5428303,5518341,5609166,5703224,5801543,5907149,6017794,6123022,6208680,6265697,6288652,6283403,6265987,6258984,6278438
LCA,4150,4164,4177,4191,4205,4219,4233,4247,4260,4274,4288,4303,4318,4332,4347,4362,4377,4392,4406,4421,4436,4451,4467,4482,4497,4512,4528,4543,4558,4574,4589,4605,4621,4636,4652,4668,4684,4700,4715,4731,4747,4763,4780,4796,4813,4829,4845,4862,4878,4894,4911,4928,4945,4962,4979,4995,5012,5029,5046,5063,5080,5081,5082,5083,5084,5085,5086,5087,5088,5089,5090,5091,5092,5093,5094,5095,5096,5097,5098,5100,5101,5102,5103,5104,5105,5106,5107,5108,5109,5110,5111,5112,5113,5114,5115,5116,5117,5118,5119,5120,5121,5198,5274,5351,5428,5504,5581,5658,5735,5811,5888,5946,6004,6061,6119,6177,25774,45371,64968,84565,104162,105389,106458,107461,108534,109770,111211,112826,114551,116292,117984,119593,121150,122738,124468,126416,128620,131032,133532,135954,138180,140159,141934,143592,145262,147040,148962,150994,153066,155073,156949,158650,160218,161767,163462,165407,167656,170146,172729,175196,177397,179278,180890,182305,183645,
LKA,2217001,2245451,2273901,2302351,2330801,2359250,2387700,2416150,2444600,2473050,2501500,2529950,2558400,2586851,2615301,2643751,2672201,2700651,2729102,2757552,2786002,2783381,2780759,2778138,2775516,2772895,2770274,2767652,2765031,2762409,2759788,2780378,2800969,2821559,2842150,2862740,2883330,2903921,2924511,2945102,2965692,3018122,3070551,3122981,3175410,3227840,3280270,3332699,3385129,3437558,3489988,3543877,3597766,3651654,3705543,3759432,3813321,3867210,3921098,3974987,4028876,4091131,4153386,4215640,4277895,4340150,4402405,4464660,4526914,4589169,4651424,4708795,4766166,4823537,4880908,4938279,4995650,5053021,5110392,5167763,5225134,5297122,5369110,5441098,5513086,5585074,5657063,5729051,5801039,5873027,5945015,6174576,6404137,6633698,6863259,7092820,7165208,7237595,7309982,7382370,7454757,7674414,7904810,8144262,8380888,8603369,8824279,9055566,9290130,9539342,9810395,10084614,10356554,10623594,10881268,11143571,11413540,11683997,11959602,12227960,12487493,12749209,13003394,13253063,13502870,13755990,14013610,14274023,14534087,14789300,15036562,15274137,15503320,15727670,15952350,16180776,16413729,16648992,16883250,17111785,17330817,17540762,17741793,17929772,18099591,18248435,18373530,18478024,18572347,18670843,18783745,18914866,19061066,19217032,19374281,19526406,19672418,19813816,19949553,20078873,20201312,20315673,20421862,20521959,20618991,
LSO,153795,154953,156111,157268,158426,159583,160741,161899,163056,164214,165372,166766,168161,169556,170950,172345,173740,175134,176529,177924,179318,181038,182757,184477,186196,187916,189635,191355,193074,194794,196513,198697,200880,203064,205247,207431,209614,211798,213981,216165,218348,221232,224116,227000,229884,232767,235651,238535,241419,244303,247186,251210,255234,259258,263282,267306,271330,275354,279378,283402,287426,293523,299620,305717,311814,317911,324008,330105,336202,342299,348396,358999,369602,380206,390809,401412,412016,422619,433222,443826,454429,478898,503368,527837,552306,576775,601245,625714,650183,674652,699122,702604,706086,709568,713050,716532,720014,723496,726978,730460,733942,745693,757445,769196,780948,792699,800254,807810,815365,822920,830476,846660,863937,882183,901355,921313,942133,963798,986059,1008936,1032240,1053524,1075281,1098033,1122484,1149090,1177975,1208836,1241159,1274216,1307403,1340694,1374044,1406818,1438248,1467856,1495101,1520244,1544580,1569936,1597534,1627900,1660360,1693459,1725118,1753824,1779201,1801695,1821632,1839631,1856225,1871489,1885488,1898778,1912042,1925844,1940345,1955656,1972194,1990413,2010586,2032950,2057331,2083061,2109197,
LTU,1032899,1047655,1062410,1077166,1091922,1106678,1121433,1136189,1150945,1165700,1180456,1193572,1206688,1219805,1232921,1246037,1259153,1272269,1285386,1298502,1311618,1326192,1340765,1355338,1369912,1384486,1399059,1413632,1428206,1442780,1457353,1473546,1489739,1505932,1522125,1538318,1554510,1570703,1586896,1603089,1619282,1637274,1655266,1673258,1691250,1709242,1727234,1745226,1763218,1781210,1799202,1819193,1839184,1859175,1879166,1899158,1919149,1939140,1959131,1979122,1999113,2009634,2020156,2030678,2041199,2051720,2062242,2072764,2083285,2093806,2104328,2115404,2126479,2137555,2148631,2159706,2170782,2181858,2192934,2204009,2215085,2255390,2295694,2335999,2376304,2416608,2456913,2497218,2537523,2577827,2618132,2613059,2607986,2602913,2597840,2592766,2587693,2582620,2577547,2572474,2567401,2588516,2609631,2630746,2651861,2672976,2694091,2715206,2736321,2757436,2778551,2814407,2850264,2886120,2921976,2957832,2993689,3029545,3065401,3101258,3137114,3166412,3195709,3225007,3254304,3283602,3312900,3342197,3371495,3400792,3430090,3456670,3483251,3509831,3536412,3562992,3589872,3616752,3643633,3670513,3697393,3699352,3690788,3673906,3652120,3628079,3602164,3574014,3544668,3515218,3486373,3458923,3432663,3406030,3376761,3343268,3305529,3264304,3219802,3172436,3122835,3070593,3016496,2963810,2916798,
LUX,183338,185445,187552,189659,191767,193874,195981,198089,200196,202303,204411,204617,204824,205030,205237,205443,205650,205856,206063,206269,206476,207813,209151,210489,211827,213164,214502,215840,217178,218515,219853,221191,222529,223866,225204,226542,227880,229217,230555,231893,233231,234568,235906,237244,238582,239919,241257,242595,243933,245270,246608,247946,249284,250621,251959,253297,254635,255972,257310,258648,259986,261323,262661,263999,265337,266674,268012,269350,270688,272025,273363,274701,276039,277376,278714,280052,281390,282728,284065,285403,286741,288079,289416,290754,292092,293430,294767,296105,297443,298781,300118,299707,299295,298883,298471,298060,297652,297245,296837,296429,296022,297863,299703,301544,303385,305225,307066,308907,310747,312588,314431,317311,321222,324577,328232,331988,334386,335505,336361,337997,339673,342224,345108,348173,351190,353984,356563,358961,361078,362791,364044,364779,365098,365301,365795,366884,368662,371079,374117,377708,381787,386355,391400,396807,402431,408148,414000,419974,425830,431264,436107,440198,443729,447321,451826,457847,465546,474705,485079,496257,507889,519981,532479,544885,556573,
LVA,885975,898631,911288,923945,936602,949258,961915,974572,987229,999885,1012542,1023793,1035043,1046294,1057544,1068795,1080046,1091296,1102547,1113797,1125048,1137548,1150049,1162550,1175050,1187550,1200051,1212552,1225052,1237552,1250053,1263942,1277832,1291721,1305610,1319500,1333389,1347278,1361167,1375057,1388946,1404379,1419812,1435245,1450678,1466111,1481544,1496977,1512410,1527843,1543276,1560423,1577571,1594718,1611866,1629013,1646160,1663308,1680455,1697603,1714750,1723775,1732800,1741824,1750849,1759874,1768899,1777924,1786948,1795973,1804998,1814498,1823998,1833499,1842999,1852499,1861999,1871499,1881000,1890500,1900000,1905800,1911600,1917399,1923199,1928999,1934799,1940599,1946398,1952198,1957998,1957098,1956199,1955299,1954399,1953500,1952600,1951700,1950800,1949901,1949001,1966199,1983396,2000594,2017791,2034989,2052187,2069384,2086582,2103779,2120977,2145450,2169922,2194395,2218868,2243340,2267813,2292286,2316759,2341231,2365704,2380469,2395233,2409998,2424762,2439527,2454292,2469056,2483821,2498585,2513350,2528406,2543461,2558517,2573573,2588628,2603700,2618771,2633842,2648914,2663985,2645056,2611306,2568603,2525444,2487988,2458305,2434628,2414650,2394521,2371481,2345145,2316731,2286946,2256935,2227559,2199105,2171378,2144215,2117307,2090519,2063661,2037090,2011857,1989354,
MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250997,253881,254282,252845,250550,248213,245915,243729,242458,243073,246236,252258,260921,271674,283672,296222,309226,322655,335952,348467,359735,369484,377799,385041,391783,398459,405231,412031,418810,425448,431907,438088,444178,450754,458579,468149,479728,493022,507274,521405,534626,546682,557763,568056,577914,
MAR,4134542,4182727,4230912,4279097,4327282,4375466,4423651,4471836,4520021,4568206,4616391,4664574,4712757,4760940,4809123,4857306,4905489,4953672,5001855,5050038,5098221,5146408,5194594,5242781,5290968,5339154,5387341,5435528,5483715,5531901,5580088,5628273,5676458,5724644,5772829,5821014,5869199,5917384,5965570,6013755,6061940,6110122,6158304,6206486,6254668,6302850,6351032,6399214,6447396,6495578,6543760,6591947,6640134,6688321,6736508,6784695,6832882,6881069,6929256,6977443,7025630,7073814,7121999,7170183,7218368,7266552,7314736,7362921,7411105,7459290,7507474,7555657,7603839,7652022,7700205,7748388,7796570,7844753,7892936,7941118,7989301,8037486,8085671,8133857,8182042,8230227,8278412,8326597,8374783,8422968,8471153,8519338,8567522,8615706,8663891,8712076,8853645,8995214,9136784,9278353,9419923,9712538,10020636,10289369,10572403,10869998,11179344,11499788,11830995,12173286,12525204,12840675,13163561,13495009,13834894,14181380,14532717,14891291,15261267,15644267,16039600,16389949,16740525,17097003,17466606,17854614,18262366,18688782,19133462,19595092,20071902,20564359,21070647,21583746,22094516,22596133,23084731,23560825,24027330,24489354,24950128,25410178,25866445,26314339,26747660,27161889,27556892,27934014,28292299,28630973,28950553,29250983,29535591,29812685,30093109,30385479,30691434,31011322,31350544,31714958,32107739,32531964,32984190,33452686,33921203,
MDA,1051432,1060194,1068956,1077717,1086479,1095241,1104003,1112765,1121526,1130288,1139050,1148542,1158034,1167527,1177019,1186511,1196003,1205495,1214988,1224480,1233972,1244255,1254538,1264821,1275104,1285387,1295670,1305953,1316236,1326519,1336802,1347942,1359082,1370222,1381362,1392502,1403643,1414783,1425923,1437063,1448203,1460271,1472340,1484408,1496476,1508544,1520613,1532681,1544749,1556818,1568886,1581960,1595034,1608108,1621182,1634256,1647330,1660404,1673478,1686552,1699626,1713790,1727953,1742117,1756281,1770444,1784608,1798772,1812936,1827099,1841263,1856607,1871950,1887294,1902638,1917982,1933325,1948669,1964013,1979356,1994700,2011323,2027945,2044568,2061190,2077813,2094436,2111058,2127681,2144303,2160926,2178934,2196942,2214949,2232957,2250965,2268973,2286981,2304988,2322996,2341004,2407253,2473503,2539752,2606002,2672251,2738500,2804750,2870999,2937249,3003498,3062598,3121698,3180798,3239898,3298998,3358099,3417199,3476299,3535399,3594499,3636049,3677599,3719149,3760699,3802250,3843800,3885350,3926900,3968450,4010000,4045395,4080790,4116186,4151581,4186976,4222404,4257831,4293259,4328686,4364114,4373582,4375312,4369649,4357283,4339082,4314693,4284931,4253280,4224270,4201088,4185513,4176647,4171686,4166371,4157707,4144651,4128459,4111168,4095813,4084483,4077811,4074754,4073714,4072340,
MDG,1361023,1365784,1370546,1375307,1380068,1384830,1389591,1394352,1399113,1403875,1408636,1414132,1419629,1425126,1430622,1436118,1441615,1447112,1452608,1458104,1463601,1470057,1476513,1482969,1489425,1495882,1502338,1508794,1515250,1521706,1528162,1535915,1543669,1551422,1559176,1566929,1574682,1582436,1590189,1597943,1605696,1615282,1624867,1634453,1644038,1653624,1663210,1672795,1682381,1691966,1701552,1713888,1726224,1738561,1750897,1763233,1775569,1787905,1800242,1812578,1824914,1841758,1858602,1875445,1892289,1909133,1925977,1942821,1959664,1976508,1993352,2018662,2043972,2069281,2094591,2119901,2145211,2170521,2195830,2221140,2246450,2292136,2337823,2383509,2429196,2474882,2520568,2566255,2611941,2657628,2703314,2841338,2979362,3117385,3255409,3393433,3531457,3669481,3807504,3945528,4083552,4185478,4287403,4389329,4491254,4593180,4740206,4887232,5034258,5181284,5328310,5433666,5543711,5658247,5777403,5900129,6026487,6157277,6292021,6430721,6576301,6760352,6952383,7152391,7360271,7575757,7799642,8031589,8268902,8507958,8746516,8983494,9220693,9462343,9714342,9981113,10264368,10563491,10877757,11205548,11545782,11898267,12263899,12643864,13039754,13452526,13882646,14329239,14790245,15262817,15744811,16235767,16736029,17245275,17763367,18290394,18826129,19371031,19926798,20495706,21079532,21678867,22293720,22924557,23571713,
MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115703,119315,123372,127717,132122,136434,140582,144645,148797,153285,158282,163834,169861,176258,182864,189551,196283,203059,209832,216553,223179,229686,236053,242252,248263,254070,259668,265067,270292,275385,280384,285298,290147,294996,299917,304968,310168,315515,321026,326713,332575,338618,344817,351111,357415,
MEX,9035215,9068785,9102355,9135925,9169495,9203065,9236635,9270205,9303775,9337345,9370915,9404483,9438052,9471620,9505188,9538756,9572325,9605893,9639461,9673030,9706598,9740164,9773730,9807296,9840862,9874428,9907993,9941559,9975125,10008691,10042257,10222951,10403646,10584340,10765035,10945729,11126423,11307118,11487812,11668507,11849201,12025805,12202410,12379014,12555619,12732223,12908827,13085432,13262036,13438641,13615245,13769718,13924192,14078665,14233139,14387612,14542085,14696559,14851032,15005506,15159979,15077483,14994987,14912492,14829996,14747500,14665004,14582508,14500013,14417517,14335021,14556819,14778617,15000414,15222212,15444010,15665808,15887606,16109403,16331201,16552999,16863094,17173189,17483284,17793379,18103474,18413570,18723665,19033760,19343855,19653950,20462630,21271310,22079990,22888670,23697350,24574462,25451573,26328685,27205796,28082908,28882508,29718615,30593050,31507781,32464871,33466496,34521054,35631554,36801306,38033695,39273658,40540763,41835002,43156383,44504891,45880616,47317759,48819490,50389131,52029859,53719547,55480125,57283361,59090495,60872399,62620087,64337694,66025613,67688533,69330974,70950741,72547995,74133377,75721210,77322643,78939441,80571067,82223153,83901643,85609404,87347208,89110043,90887097,92663664,94426946,96181710,97925825,99632299,101266570,102808590,104239563,105578297,106888418,108257822,109747906,111382857,113139374,114972821,116815612,118617542,120365271,122070963,123740109,125385833,
MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14665,15052,15545,16111,16702,17283,17840,18388,18965,19622,20397,21310,22340,23440,24536,25580,26549,27470,28399,29416,30581,31895,33334,34895,36567,38334,40203,42148,44063,45813,47300,48481,49382,50052,50577,51020,51397,51697,51922,52076,52161,52184,52161,52115,52074,52058,52080,52136,52221,52321,52428,52541,52663,52786,52898,52993
